first_name,last_name,company_name,address,city,province,postal,phone1,phone2,email,web
Loreen,Griepentrog,A J Cohen Distributor Inc,6 Monard Dr,Orleans,ON,K1C 2E5,613-684-4467,613-959-2224,loreen_griepentrog@aol.com,http://www.ajcohendistributorinc.com
Tayna,Keirnan,"Hartz, J Ernest Esq",18 Cowesett Ave,Barrie,ON,L4N 5C5,705-655-5936,705-731-4284,tayna_keirnan@gmail.com,http://www.hartzjernestesq.com
Nieves,Planty,"Swanson, Dennis V Esq",684 Albion Rd,Peterborough,ON,K9H 3K7,705-616-5386,705-997-9149,nplanty@gmail.com,http://www.swansondennisvesq.com
Glenn,Robinault,"Leikin, James",8700 S Jefferson Rd #676,Lachine,QC,H8S 3A8,514-330-5479,514-322-5935,glenn.robinault@cox.net,http://www.leikinjames.com
Julianna,Racer,Cycle Motion Inc,4407 Chestnut Ridge Dr,Saint John,NB,E2K 5L7,506-752-6097,506-958-3152,jracer@cox.net,http://www.cyclemotioninc.com
Ashton,Nitchals,"Tirone, Anthony R Esq",13 Midway Pl,Oakville,ON,L6H 5G1,905-725-6769,905-586-2298,ashton@cox.net,http://www.tironeanthonyresq.com
Shaun,Scovil,Stowe Away Lodge,253 Hamilton Ave #1684,Pickering,ON,L1W 2P9,905-907-6615,905-984-4439,shaun_scovil@aol.com,http://www.stoweawaylodge.com
Long,Shintaku,Georgetown Agency,8 W 41st Ave,Blainville,QC,J7C 2R9,450-771-5010,450-679-3521,long.shintaku@shintaku.org,http://www.georgetownagency.com
Vinnie,Meir,Halbar Enterprises Whol Clthng,559 Bridge Plz,Etobicoke,ON,M8Y 1G5,416-862-7028,416-626-5219,vmeir@meir.com,http://www.halbarenterpriseswholclthng.com
Lucia,Flipp,Days Inn,196 Touhy Ave,Scarborough,ON,M1E 3L6,416-870-8070,416-938-6909,lucia@aol.com,http://www.daysinn.com
Corazon,Ivaska,Ansonia Records Inc,6 W Lincoln Ave,Saskatoon,SK,S7K 3K7,306-333-8933,306-513-1680,corazon@ivaska.org,http://www.ansoniarecordsinc.com
Jaime,Perugini,Bei Motion Systems Co Inc,7071 E 7th St #56,Verdun,QC,H4G 1X4,514-950-4495,514-371-6473,jaime_perugini@perugini.com,http://www.beimotionsystemscoinc.com
Miriam,Stakes,Sign Magic,784 Packerland Dr,Burlington,ON,L7L 5E8,905-441-5009,905-702-1792,miriam.stakes@yahoo.com,http://www.signmagic.com
